id,fuente,nombre,organismo,categoria,tipo,estado,ventana,descripcion,monto_min,monto_max,moneda,fecha_apertura,fecha_cierre,url,requisitos,score_geoninos,internacional,verificado,updated_at
FL-beca-creacion,catalogo_curado,Beca de Creación Literaria — Fondo del Libro y la Lectura,MINCAP (Ministerio de las Culturas),creacion,cultural,proximo,"anual: abre ~fines de junio, cierra ~fines de julio","EJE DEL PROYECTO. Financia finalizar una obra inédita en género Literatura Infantil / Libro Álbum: cubre escribir + ilustrar. Unipersonal $5M (sin ilustraciones). Coautoría $7,5M (Libro Álbum y Lit. Infantil con equipo OBLIGAN ilustraciones; vía natural con un/a ilustrador/a). Evaluación CIEGA (no pesa trayectoria). ESTADO (verificado 2026-06-26): la convocatoria de ejecución 2026 CERRÓ el 31-jul-2025. La línea es anual (abre ~fines de junio, cierra ~fines de julio). La próxima (ejecución 2027) aún NO se publica → MONITOREAR fondosdecultura.cl. Preparar dummy + Perfil Cultura ahora.",5000000,7500000,CLP,,,https://www.fondosdecultura.cl/fondos/fondo-libro-lectura/lineas-de-concurso/fomento-a-la-creacion-fondo-del-libro-y-la-lectura-2026/,"[""obra inédita"", ""Perfil Cultura del autor e ilustrador"", ""muestra 8-30 págs (Infantil) / 8-20 (Álbum)"", ""cartas de compromiso del equipo""]",98,0,si,2026-07-26
FL-apoyo-ediciones,catalogo_curado,Fomento a la Industria — Apoyo a Ediciones (Fondo del Libro),MINCAP (Ministerio de las Culturas),edicion,cultural,proximo,"anual: abre ~fines de junio, cierra ~inicios de agosto","Financia editar, imprimir, distribuir y difundir la obra. Requisito decisivo: el postulante debe acreditar giro editorial (Inicio de Actividades SII) → en la práctica un autor persona natural NO postula solo: necesita una editorial que presente el proyecto. ESTADO (verificado 2026-06-26): la convocatoria de ejecución 2026 CERRÓ el 4-ago-2025. Línea anual → la próxima (ejecución 2027) aún NO se publica. MONITOREAR. Monto por modalidad [NO VERIFICADO en bases]. Fondo global $5M–$75M.",5000000,75000000,CLP,,,https://www.fondosdecultura.cl/fondos/fondo-libro-lectura/lineas-de-concurso/fomento-a-la-industria-fondo-del-libro-y-la-lectura-2026/,"[""editorial con giro SII"", ""carta de cesión del autor"", ""compromiso de distribución""]",90,0,parcial,2026-07-26
SGM-coedicion,catalogo_curado,SERNAGEOMIN — Coedición / aval institucional (Oficina de Edición),SERNAGEOMIN,patrocinio,ciencia,desconocido,sin fecha fija / contacto directo,No es un fondo: es la palanca institucional más natural por tu condición de funcionario. La Oficina de Edición ya produjo divulgación propia (ej. 'Geositios de Chile'). Vía: proponer la obra para coedición o aval temático. Aporta credibilidad científica y posible cofinanciamiento. Requiere gestión interna (jefatura + Oficina de Edición) y revisar propiedad intelectual y uso del nombre institucional.,,,CLP,,,https://www.sernageomin.cl/oficina-de-edicion-y-biblioteca/,"[""gestión interna jefatura"", ""revisión de propiedad intelectual"", ""acuerdo de uso del nombre institucional""]",88,0,parcial,2026-07-26
SNBP-adquisicion,catalogo_curado,Programa de Adquisición de Libros de Autores Chilenos (SNBP),MINCAP / Consejo Nacional del Libro (SNBP),premio_compra,cultural,desconocido,anual: suele abrir sep–oct,"CANAL DE VENTA AL ESTADO: compra ~300 ejemplares del título seleccionado para bibliotecas públicas. EL AUTOR SÍ POSTULA (a diferencia de CRA). Requisitos: 1ª edición del año anterior, ISBN, depósito legal, 3 ejemplares. Criterios: contenidos 45% + pertinencia 20% (= 65%, donde pega geología-de-Chile). Anual (2024 abrió 9-sep, cerró 10-oct; presupuesto $620M). Convocatoria 2026 [VERIFICAR en fondosdecultura.cl]. Requiere libro ya publicado.",,,CLP,,,https://www.fondos.gob.cl/ficha/mincap/programa-adquisicion-libros/,"[""1ª edición del año anterior"", ""ISBN + depósito legal"", ""3 ejemplares físicos"", ""postula el autor""]",85,0,parcial,2026-07-26
MINCIENCIA-ciencia-publica,catalogo_curado,Concursos Ciencia Pública — Divulgación del Conocimiento,Ministerio de Ciencia (MinCiencia),divulgacion_ciencia,ciencia,proximo,anual: suele abrir mayo–junio,"HALLAZGO CLAVE (verificado 2026-06-27): la línea 'Productos de Divulgación del Conocimiento' financia explícitamente LIBROS de divulgación, hasta $25M, y admite PERSONA NATURAL (sin necesidad de editorial). Única condición fuerte: distribución gratuita (ideal para tiraje a escuelas/bibliotecas). Complementa al Fondo del Libro (que sí permite venta). Es ANUAL (abre ~mediados de año). Estado del ciclo vigente [VERIFICAR fechas en fondos.gob.cl].",1000000,25000000,CLP,,,https://cienciapublica.cl/concursos/,"[""persona natural elegible (sin editorial)"", ""proyecto de divulgación científica"", ""distribución gratuita obligatoria""]",80,0,parcial,2026-07-26
ED-amanuta,catalogo_curado,Editorial Amanuta — vía editorial directa (maqueta),Amanuta,editorial,editorial,desconocido,sin fecha fija / contacto directo,"La candidata más natural: especialista en libro ilustrado infantil; publican explícitamente no-ficción sobre naturaleza, animales y ciencia. Modelo tradicional (no cobra al autor; paga regalías/anticipo). Recepción de manuscritos todo el año, solo digital: publicaciones@amanuta.cl. Una editorial comprometida habilita además la línea Apoyo a Ediciones.",,,CLP,,,https://amanuta.cl/pages/envio-de-manuscrito,"[""maqueta/dummy"", ""envío digital""]",80,0,si,2026-07-26
ED-ekare-sur,catalogo_curado,Ediciones Ekaré Sur — vía editorial directa (maqueta),Ekaré Sur,editorial,editorial,desconocido,sin fecha fija / contacto directo,Álbum ilustrado de prestigio con tradición de informativos sobre naturaleza y territorio; enfoque narrativo/divulgativo (no técnico). Modelo tradicional. Contacto: info@ekaresur.cl.,,,CLP,,,https://ekaresur.cl/contacto/,"[""maqueta/dummy"", ""enfoque narrativo""]",75,0,si,2026-07-26
premio-marta-brunet,catalogo_curado,Premio Marta Brunet — Primera infancia (Premios Literarios MINCAP),MINCAP / Fondo del Libro,premio_compra,cultural,desconocido,sin fecha fija / contacto directo,Premio a obra YA PUBLICADA (meta postpublicación). Categoría Primera infancia (0-6). $4.330.000 + el Ministerio COMPRA el 20% de la 1ª edición del ganador (tope 100 ej.) para bibliotecas → prestigio + dinero + venta. Exige 1ª edición reciente: conviene sincronizar el lanzamiento. Convocatoria 2026 [VERIFICAR].,4330000,4330000,CLP,,,https://premiosliterarios.cultura.gob.cl/marta-brunet/,"[""obra publicada (1ª edición reciente)"", ""categoría primera infancia""]",72,0,si,2026-07-26
MINCAP-patrocinio,catalogo_curado,"Patrocinio MINCAP (aval institucional, sin dinero)",MINCAP (Ministerio de las Culturas),patrocinio,cultural,desconocido,sin fecha fija / contacto directo,Carta de patrocinio institucional (no entrega dinero) que fortalece otras postulaciones y auspicios. Se solicita en línea con al menos 30 días hábiles de anticipación al hito. Gratis.,0,0,CLP,,,https://patrocinio.cultura.gob.cl/,"[""solicitud 30 días hábiles antes"", ""descripción del proyecto""]",70,0,si,2026-07-26
premio-fce-orilla,catalogo_curado,"Premio A la Orilla del Viento — álbum (FCE, México)",Fondo de Cultura Económica (México),internacional,internacional,abierto,cierra 2026-08-28,"EL INTERNACIONAL CON MEJOR CALCE. Premio anual al álbum ilustrado INÉDITO + publicación (colección Los Especiales) con distribución en Iberoamérica (FCE tiene filial en Chile). Abierto a cualquier nacionalidad, persona natural. ~$150.000 MXN (~USD 8.000). DINERO REAL + publica. Puede declararse desierto algunos años.",150000,150000,MXN,,2026-08-28,https://www.fondodeculturaeconomica.com/,"[""álbum ilustrado inédito"", ""cualquier nacionalidad""]",62,1,si,2026-07-26
